model;identifier;name;currency;active;inception_date;closing_date;management_company;bank;provider;provider_identifier;type;logo;additional_description
security.models.Security;[CFD] INTEL CORP;[CFD] INTEL CORP;USD;True;2020-01-01;;;;FinaLE Engine;784871;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""784871""}}}"
security.models.Security;[CFD] KAZ MINERALS PLC;[CFD] KAZ MINERALS PLC;GBp;True;2020-01-01;;;;FinaLE Engine;787900;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""787900""}}}"
security.models.Security;[CFD] MECHEL-SPONSORED ADR;[CFD] Mechel;USD;True;2020-01-01;;;;FinaLE Engine;856387;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""856387""}}}"
security.models.Security;[CFD] QUALCOMM INC;[CFD] QUALCOMM Inc;USD;True;2020-01-01;;;;FinaLE Engine;784054;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""784054""}}}"
security.models.Security;[CFD] RAPTOR PHARMACEUTICAL CORP;[CFD] Raptor Pharmaceutical Corp;USD;True;2020-01-01;;;;FinaLE Engine;790704;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""790704""}}}"
security.models.Security;[CFD] SCHLUMBERGER LTD;[CFD] Schlumberger Ltd;USD;True;2020-01-01;;;;FinaLE Engine;782827;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""782827""}}}"
security.models.Security;[CFD] SOCIETE GENERALE SA;[CFD] SOCIETE GENERALE SA;EUR;True;2020-01-01;;;;FinaLE Engine;780372;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""780372""}}}"
security.models.Security;[CFD] UBS AG-REG;[CFD] UBS AG-REG;CHF;True;2020-01-01;;;;FinaLE Engine;783791;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""783791""}}}"
security.models.Security;[CFD] VERIZON COMMUNICATIONS INC;[CFD] VERIZON COMMUNICATIONS INC;USD;True;2020-01-01;;;;FinaLE Engine;780478;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""780478""}}}"
security.models.Security;[CFD] VODAFONE GROUP PLC;[CFD] VODAFONE GROUP PLC;GBp;True;2020-01-01;;;;FinaLE Engine;961406;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""961406""}}}"
security.models.Security;[CFD] XAU-USD X-RATE;[CFD] XAUUSD Spot Exchange Rate - Price of 1 XAU in USD;USD;True;2020-01-01;;;;FinaLE Engine;989959;SECTYP_CFD;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""989959""}}}"
